# Generated: 2024.04.10
Event #,ID,"Hypocenter 
 Depth [km]","Model
 Name","Strike
 [˚]",Multiplication Factor,Perturbation Time Before Mainshock [h],"Peak Dynamic 
 dCFS [MPa]","Static 
 dCFS [MPa]","Time 
 Difference [h]","New Hyp. 
 Depth [km]"
88,8,4.38,vert_slow,340,1,16.2,0.5824,0.0915,-6.1473,4.66
88,8,4.38,dipping_fast,320,1,16.2,1.2741,0.2096,-8.1536,4.4
120,12,6.5,vert_slow,340,1,16.2,0.6754,-0.1902,-5.3792,6.48
120,12,6.5,vert_slow,320,1,16.2,1.1795,0.1326,-6.9902,6.58
120,12,6.5,vert_fast,320,1,16.2,1.7349,0.1331,-6.865,6.58
120,12,6.5,dipping_fast,330,1,16.2,1.277,-0.2824,-8.4713,6.46
175,20,4.34,vert_slow,340,1,16.2,0.5719,0.0922,-5.9894,4.28
415,45,7.72,vert_slow,340,1,16.2,0.4182,-0.1681,-4.4585,7.72
517,56,4.28,vert_slow,340,1,16.2,0.5571,0.0935,-5.9619,4.66
282,31,7.82,vert_fast,330,1,16.2,0.939,0.0099,-4.9969,7.72
282,31,7.82,vert_fast,340,1,16.2,0.7048,-0.1482,-4.8459,7.72
282,31,7.82,vert_slow,320,1,16.2,1.0178,0.1476,-5.5629,7.72
282,31,7.82,vert_slow,340,1,16.2,0.38,-0.1521,-4.4749,7.72
282,31,7.82,dipping_fast,340,1,16.2,0.5243,-0.505,-5.0424,7.72
282,31,7.82,dipping_slow,330,1,16.2,0.6973,-0.392,-5.5737,7.72
282,31,7.82,dipping_slow,340,1,16.2,0.3942,-0.5085,-4.7764,0
282,31,7.82,dipping_slow,350,1,16.2,0.0473,-0.5896,-4.1468,7.72
